rank,code,firm,percentage
1,2330,台積電,31.79%
2,2317,鴻海,3.36%
3,2454,聯發科,2.46%
4,2382,廣達,1.56%
5,2412,中華電,1.49%
6,2881,富邦金,1.40%
7,2308,台達電,1.29%
8,2882,國泰金,1.15%
9,6505,台塑化,1.07%
10,2891,中信金,1.04%
11,3711,日月光投控,1.01%
12,2303,聯電,0.99%
13,2886,兆豐金,0.89%
14,1303,南亞,0.70%
15,1301,台塑,0.68%
16,1216,統一,0.67%
17,2884,玉山金,0.67%
18,6669,緯穎,0.64%
19,2603,長榮,0.63%
20,2002,中鋼,0.61%
21,2885,元大金,0.60%
22,3045,台灣大,0.60%
23,5880,合庫金,0.60%
24,3034,聯詠,0.58%
25,2892,第一金,0.58%
26,2207,和泰車,0.54%
27,3231,緯創,0.51%
28,2395,研華,0.51%
29,1326,台化,0.50%
30,2880,華南金,0.50%
31,2357,華碩,0.50%
32,3008,大立光,0.45%
33,2912,統一超,0.44%
34,4904,遠傳,0.44%
35,5871,中租-KY,0.43%
36,3037,欣興,0.43%
37,2890,永豐金,0.42%
38,2379,瑞昱,0.41%
39,2327,國巨,0.41%
40,4938,和碩,0.40%
41,2345,智邦,0.40%
42,3017,奇鋐,0.39%
43,1101,台泥,0.38%
44,3661,世芯-KY,0.37%
45,2301,光寶科,0.37%
46,1590,亞德客-KY,0.36%
47,2883,開發金,0.36%
48,5876,上海商銀,0.35%
49,2887,台新金,0.35%
50,1519,華城,0.34%
51,2408,南亞科,0.32%
52,2801,彰銀,0.31%
53,2618,長榮航,0.30%
54,2356,英業達,0.30%
55,2376,技嘉,0.29%
56,3443,創意,0.28%
57,2609,陽明,0.28%
58,1402,遠東新,0.27%
59,6415,矽力*-KY,0.26%
60,3036,文曄,0.26%
61,3533,嘉澤,0.25%
62,9910,豐泰,0.25%
63,2324,仁寶,0.24%
64,1102,亞泥,0.24%
65,2385,群光,0.24%
66,2371,大同,0.24%
67,2105,正新,0.24%
68,1503,士電,0.24%
69,1605,華新,0.23%
70,2474,可成,0.23%
71,3702,大聯大,0.23%
72,2615,萬海,0.22%
73,2383,台光電,0.22%
74,1476,儒鴻,0.22%
75,2409,友達,0.22%
76,2834,臺企銀,0.22%
77,2353,宏碁,0.21%
78,3653,健策,0.21%
79,6409,旭隼,0.21%
80,5269,祥碩,0.21%
81,2377,微星,0.21%
82,2888,新光金,0.21%
83,2347,聯強,0.21%
84,6239,力成,0.21%
85,3481,群創,0.20%
86,2610,華航,0.20%
87,8046,南電,0.19%
88,1504,東元,0.18%
89,2059,川湖,0.18%
90,2449,京元電子,0.18%
91,2360,致茂,0.18%
92,6526,達發,0.18%
93,8464,億豐,0.17%
94,4958,臻鼎-KY,0.17%
95,9945,潤泰新,0.17%
96,2344,華邦電,0.17%
97,9904,寶成,0.17%
98,8454,富邦媒,0.16%
99,1229,聯華,0.16%
100,3044,健鼎,0.16%
101,2368,金像電,0.15%
102,1477,聚陽,0.15%
103,6770,力積電,0.15%
104,6176,瑞儀,0.14%
105,1513,中興電,0.14%
106,2812,台中銀,0.14%
107,2313,華通,0.14%
108,2027,大成鋼,0.14%
109,6446,藥華藥,0.14%
110,2354,鴻準,0.14%
111,6789,采鈺,0.13%
112,9921,巨大,0.13%
113,2542,興富發,0.13%
114,2049,上銀,0.13%
115,2352,佳世達,0.13%
116,9941,裕融,0.13%
117,1795,美時,0.12%
118,2204,中華,0.12%
119,2633,台灣高鐵,0.12%
120,6472,保瑞,0.12%
121,3035,智原,0.12%
122,2404,漢唐,0.12%
123,2258,鴻華先進-創,0.12%
124,2201,裕隆,0.11%
125,6285,啟碁,0.11%
126,4763,材料-KY,0.11%
127,1319,東陽,0.11%
128,9914,美利達,0.11%
129,6412,群電,0.11%
130,3532,台勝科,0.11%
131,6592,和潤企業,0.11%
132,3023,信邦,0.10%
133,2206,三陽工業,0.10%
134,2915,潤泰全,0.10%
135,2539,櫻花建,0.10%
136,3005,神基,0.10%
137,1722,台肥,0.10%
138,2388,威盛,0.10%
139,6139,亞翔,0.10%
140,2845,遠東銀,0.10%
141,2809,京城銀,0.10%
142,2211,長榮鋼,0.10%
143,6531,愛普*,0.10%
144,2540,愛山林,0.09%
145,2838,聯邦銀,0.09%
146,9917,中保科,0.09%
147,5522,遠雄,0.09%
148,2504,國產,0.09%
149,3706,神達,0.09%
150,4919,新唐,0.08%
151,6805,富世達,0.08%
152,2492,華新科,0.08%
153,6005,群益證,0.08%
154,2634,漢翔,0.08%
155,6781,AES-KY,0.08%
156,2006,東和鋼鐵,0.08%
157,9958,世紀鋼,0.08%
158,1907,永豐餘,0.08%
159,1808,潤隆,0.08%
160,2337,旺宏,0.08%
161,1210,大成,0.08%
162,2637,慧洋-KY,0.08%
163,2889,國票金,0.08%
164,2458,義隆,0.08%
165,1802,台玻,0.08%
166,3406,玉晶光,0.08%
167,2101,南港,0.08%
168,2903,遠百,0.07%
169,5434,崇越,0.07%
170,2363,矽統,0.07%
171,2548,華固,0.07%
172,2606,裕民,0.07%
173,9939,宏全,0.07%
174,8112,至上,0.07%
175,4915,致伸,0.07%
176,2501,國建,0.07%
177,2923,鼎固-KY,0.07%
178,1773,勝一,0.07%
179,3189,景碩,0.07%
180,4766,南寶,0.07%
181,1314,中石化,0.07%
182,1609,大亞,0.07%
183,6414,樺漢,0.06%
184,9933,中鼎,0.06%
185,2645,長榮航太,0.06%
186,2015,豐興,0.06%
187,6491,晶碩,0.06%
188,2855,統一證,0.06%
189,2451,創見,0.06%
190,6213,聯茂,0.06%
191,2227,裕日車,0.06%
192,8996,高力,0.06%
193,1434,福懋,0.06%
194,3596,智易,0.06%
195,3665,貿聯-KY,0.06%
196,1717,長興,0.06%
197,5534,長虹,0.06%
198,6670,復盛應用,0.06%
199,1514,亞力,0.06%
200,1560,中砂,0.06%
201,5388,中磊,0.06%
202,2607,榮運,0.06%
203,2329,華泰,0.06%
204,2498,宏達電,0.06%
205,1227,佳格,0.05%
206,6278,台表科,0.05%
207,3042,晶技,0.05%
208,8926,台汽電,0.05%
209,8478,東哥遊艇,0.05%
210,8210,勤誠,0.05%
211,6191,精成科,0.05%
212,2441,超豐,0.05%
213,6901,鑽石投資,0.05%
214,6282,康舒,0.05%
215,6214,精誠,0.05%
216,4770,上品,0.05%
217,6257,矽格,0.05%
218,6691,洋基工程,0.05%
219,8016,矽創,0.05%
220,8150,南茂,0.05%
221,2014,中鴻,0.05%
222,6605,帝寶,0.05%
223,3376,新日興,0.05%
224,1440,南紡,0.05%
225,3592,瑞鼎,0.05%
226,1904,正隆,0.05%
227,2597,潤弘,0.05%
228,6196,帆宣,0.05%
229,2106,建大,0.05%
230,1215,卜蜂,0.05%
231,3703,欣陸,0.05%
232,2520,冠德,0.05%
233,6271,同欣電,0.05%
234,8070,長華*,0.05%
235,2421,建準,0.05%
236,2850,新產,0.05%
237,6116,彩晶,0.05%
238,2707,晶華,0.05%
239,2023,燁輝,0.05%
240,4961,天鈺,0.05%
241,3010,華立,0.05%
242,6550,北極星藥業-KY,0.05%
243,5469,瀚宇博,0.05%
244,6269,台郡,0.05%
245,3714,富采,0.05%
246,2867,三商壽,0.05%
247,6515,穎崴,0.05%
248,6806,森崴能源,0.05%
249,2455,全新,0.04%
250,6230,尼得科超眾,0.04%
251,2393,億光,0.04%
252,1409,新纖,0.04%
253,3515,華擎,0.04%
254,2897,王道銀行,0.04%
255,3583,辛耘,0.04%
256,2515,中工,0.04%
257,3014,聯陽,0.04%
258,3413,京鼎,0.04%
259,1723,中碳,0.04%
260,2247,汎德永業,0.04%
261,2530,華建,0.04%
262,2362,藍天,0.04%
263,2439,美律,0.04%
264,6177,達麗,0.04%
265,1905,華紙,0.04%
266,3006,晶豪科,0.04%
267,2704,國賓,0.04%
268,1736,喬山,0.04%
269,3030,德律,0.04%
270,6579,研揚,0.04%
271,8081,致新,0.04%
272,9940,信義,0.04%
273,1231,聯華食,0.04%
274,2392,正崴,0.04%
275,3617,碩天,0.04%
276,1104,環泥,0.04%
277,9907,統一實,0.04%
278,1232,大統益,0.04%
279,2457,飛宏,0.04%
280,9802,鈺齊-KY,0.04%
281,1608,華榮,0.04%
282,2348,海悅,0.04%
283,1789,神隆,0.04%
284,6719,力智,0.03%
285,2312,金寶,0.03%
286,2851,中再保,0.03%
287,2481,強茂,0.03%
288,1707,葡萄王,0.03%
289,1442,名軒,0.03%
290,2849,安泰銀,0.03%
291,8422,可寧衛,0.03%
292,2208,台船,0.03%
293,2467,志聖,0.03%
294,3563,牧德,0.03%
295,4583,台灣精銳,0.03%
296,9937,全國,0.03%
297,6456,GIS-KY,0.03%
298,1909,榮成,0.03%
299,2511,太子,0.03%
300,2820,華票,0.03%
301,2428,興勤,0.03%
302,2524,京城,0.03%
303,2836,高雄銀,0.03%
304,2103,台橡,0.03%
305,2727,王品,0.03%
306,9911,櫻花,0.03%
307,3576,聯合再生,0.03%
308,2608,嘉里大榮,0.03%
309,6533,晶心科,0.03%
310,6451,訊芯-KY,0.03%
311,5607,遠雄港,0.03%
312,2351,順德,0.03%
313,2545,皇翔,0.03%
314,3715,定穎投控,0.03%
315,6873,泓德能源-創,0.03%
316,9938,百和,0.03%
317,2031,新光鋼,0.03%
318,1304,台聚,0.03%
319,1313,聯成,0.03%
320,2401,凌陽,0.03%
321,3545,敦泰,0.03%
322,6235,華孚,0.03%
323,5306,桂盟,0.03%
324,6189,豐藝,0.03%
325,4536,拓凱,0.03%
326,3016,嘉晶,0.03%
327,3019,亞光,0.03%
328,1532,勤美,0.03%
329,1702,南僑,0.03%
330,2328,廣宇,0.03%
331,2009,第一銅,0.03%
332,8163,達方,0.03%
333,3380,明泰,0.03%
334,6197,佳必琪,0.03%
335,2104,國際中橡,0.03%
336,2367,燿華,0.03%
337,2359,所羅門,0.03%
338,6869,雲豹能源-創,0.03%
339,2338,光罩,0.03%
340,2373,震旦行,0.03%
341,2331,精英,0.03%
342,1903,士紙,0.03%
343,1712,興農,0.03%
344,6768,志強-KY,0.03%
345,3704,合勤控,0.03%
346,1234,黑松,0.03%
347,5007,三星,0.03%
348,9908,大台北,0.03%
349,2528,皇普,0.03%
350,4968,立積,0.03%
351,2355,敬鵬,0.03%
352,2108,南帝,0.03%
353,2723,美食-KY,0.03%
354,2486,一詮,0.03%
355,8131,福懋科,0.03%
356,6757,台灣虎航-創,0.03%
357,9930,中聯資源,0.03%
358,3026,禾伸堂,0.03%
359,9925,新保,0.02%
360,6782,視陽,0.02%
361,2913,農林,0.02%
362,2905,三商,0.02%
363,2231,為升,0.02%
364,1522,堤維西,0.02%
365,5234,達興材料,0.02%
366,2535,達欣工,0.02%
367,3673,TPK-KY,0.02%
368,4137,麗豐-KY,0.02%
369,2617,台航,0.02%
370,2527,宏璟,0.02%
371,1710,東聯,0.02%
372,2476,鉅祥,0.02%
373,2605,新興,0.02%
374,1536,和大,0.02%
375,1419,新紡,0.02%
376,1312,國喬,0.02%
377,4736,泰博,0.02%
378,3708,上緯投控,0.02%
379,2340,台亞,0.02%
380,2323,中環,0.02%
381,2010,春源,0.02%
382,2636,台驊投控,0.02%
383,3033,威健,0.02%
384,4755,三福化,0.02%
385,6790,永豐實,0.02%
386,1103,嘉泥,0.02%
387,6933,AMAX-KY,0.02%
388,6937,天虹,0.02%
389,6443,元晶,0.02%
390,1436,華友聯,0.02%
391,2731,雄獅,0.02%
392,6166,凌華,0.02%
393,4104,佳醫,0.02%
394,4532,瑞智,0.02%
395,3022,威強電,0.02%
396,1225,福懋油,0.02%
397,2480,敦陽科,0.02%
398,6585,鼎基,0.02%
399,4306,炎洲,0.02%
400,6202,盛群,0.02%
401,5258,虹堡,0.02%
402,6756,威鋒電子,0.02%
403,8341,日友,0.02%
404,4906,正文,0.02%
405,3701,大眾控,0.02%
406,3705,永信,0.02%
407,2534,宏盛,0.02%
408,1718,中纖,0.02%
409,5288,豐祥-KY,0.02%
410,1726,永記,0.02%
411,5222,全訊,0.02%
412,6753,龍德造船,0.02%
413,9927,泰銘,0.02%
414,2536,宏普,0.02%
415,2546,根基,0.02%
416,2472,立隆電,0.02%
417,2013,中鋼構,0.02%
418,1235,興泰,0.02%
419,1307,三芳,0.02%
420,9946,三發地產,0.02%
421,4746,台耀,0.02%
422,6206,飛捷,0.02%
423,2387,精元,0.02%
424,1203,味王,0.02%
425,5531,鄉林,0.02%
426,6153,嘉聯益,0.02%
427,3454,晶睿,0.02%
428,3003,健和興,0.02%
429,2543,皇昌,0.02%
430,4142,國光生,0.02%
431,6024,群益期,0.02%
432,4551,智伸科,0.02%
433,2374,佳能,0.02%
434,3029,零壹,0.02%
435,1612,宏泰,0.02%
436,1308,亞聚,0.02%
437,1110,東泥,0.02%
438,3015,全漢,0.02%
439,3416,融程電,0.02%
440,3013,晟銘電,0.02%
441,3056,富華新,0.02%
442,1582,信錦,0.02%
443,1537,廣隆,0.02%
444,2034,允強,0.02%
445,2753,八方雲集,0.02%
446,2547,日勝生,0.02%
447,2493,揚博,0.02%
448,6120,達運,0.02%
449,2489,瑞軒,0.02%
450,1720,生達,0.02%
451,9943,好樂迪,0.02%
452,6183,關貿,0.02%
453,6581,鋼聯,0.02%
454,4438,廣越,0.02%
455,1604,聲寶,0.02%
456,1711,永光,0.02%
457,1218,泰山,0.02%
458,3090,日電貿,0.02%
459,8215,明基材,0.02%
460,3712,永崴投控,0.02%
461,6449,鈺邦,0.02%
462,2436,偉詮電,0.02%
463,1614,三洋電,0.02%
464,6464,台數科,0.02%
465,6442,光聖,0.02%
466,5525,順天,0.02%
467,8213,志超,0.02%
468,3059,華晶科,0.02%
469,2762,世界健身-KY,0.02%
470,2505,國揚,0.02%
471,2332,友訊,0.02%
472,6863,永道-KY,0.02%
473,8039,台虹,0.02%
474,9942,茂順,0.02%
475,6715,嘉基,0.02%
476,4119,旭富,0.02%
477,1305,華夏,0.02%
478,2908,特力,0.02%
479,6192,巨路,0.02%
480,8033,雷虎,0.02%
481,2832,台產,0.02%
482,5519,隆大,0.02%
483,1618,合機,0.02%
484,2402,毅嘉,0.02%
485,9924,福興,0.02%
486,2450,神腦,0.02%
487,9926,新海,0.02%
488,6115,鎰勝,0.02%
489,2419,仲琦,0.02%
490,6438,迅得,0.02%
491,6277,宏正,0.01%
492,1201,味全,0.01%
493,1535,中宇,0.01%
494,2464,盟立,0.01%
495,8028,昇陽半導體,0.01%
496,8467,波力-KY,0.01%
497,1444,力麗,0.01%
498,1615,大山,0.01%
499,2029,盛餘,0.01%
500,5243,乙盛-KY,0.01%
